# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2018-01-01;00:15;272,50;88,53;996,61;5,09;150,00;0,000007;0,013487;0,020876;0,0000
2018-01-01;00:30;272,52;88,57;996,42;5,10;149,90;0,000010;0,016756;0,020920;0,0000
2018-01-01;00:45;272,53;88,66;996,21;5,09;149,81;0,000015;0,027878;0,021102;0,0000
2018-01-01;01:00;272,52;88,82;995,99;5,06;149,73;0,000021;0,046853;0,021422;0,0000
2018-01-01;01:15;272,52;88,97;995,77;5,03;149,64;0,000027;0,065828;0,021743;0,0000
2018-01-01;01:30;272,51;89,13;995,55;5,00;149,55;0,000033;0,084803;0,022063;0,0000
2018-01-01;01:45;272,51;89,24;995,33;4,96;149,26;0,000035;0,097985;0,022581;0,0000
2018-01-01;02:00;272,53;89,32;995,12;4,92;148,78;0,000032;0,105374;0,023298;0,0000
2018-01-01;02:15;272,54;89,39;994,91;4,88;148,28;0,000030;0,112763;0,024015;0,0000
2018-01-01;02:30;272,55;89,46;994,70;4,84;147,78;0,000027;0,120152;0,024732;0,0000
2018-01-01;02:45;272,57;89,53;994,49;4,79;147,55;0,000025;0,120614;0,025424;0,0000
2018-01-01;03:00;272,58;89,58;994,28;4,73;147,60;0,000021;0,114149;0,026091;0,0000
2018-01-01;03:15;272,59;89,63;994,08;4,68;147,65;0,000018;0,107684;0,026758;0,0000
2018-01-01;03:30;272,61;89,68;993,87;4,63;147,69;0,000015;0,101219;0,027425;0,0000
2018-01-01;03:45;272,62;89,78;993,68;4,57;148,05;0,000012;0,094174;0,028033;0,0000
2018-01-01;04:00;272,63;89,94;993,52;4,50;148,72;0,000011;0,086548;0,028583;0,0000
2018-01-01;04:15;272,64;90,10;993,35;4,43;149,41;0,000009;0,078922;0,029134;0,0000
2018-01-01;04:30;272,66;90,26;993,18;4,36;150,13;0,000007;0,071297;0,029684;0,0000
2018-01-01;04:45;272,68;90,39;993,01;4,32;150,76;0,000006;0,062402;0,030103;0,0000
2018-01-01;05:00;272,72;90,51;992,85;4,30;151,31;0,000006;0,052239;0,030392;0,0000
2018-01-01;05:15;272,76;90,63;992,69;4,28;151,86;0,000006;0,042076;0,030681;0,0000
2018-01-01;05:30;272,80;90,75;992,52;4,26;152,42;0,000005;0,031912;0,030970;0,0000
2018-01-01;05:45;272,83;90,93;992,38;4,26;152,99;0,000005;0,024819;0,031170;0,0000
2018-01-01;06:00;272,85;91,16;992,24;4,28;153,56;0,000004;0,020795;0,031280;0,0000
2018-01-01;06:15;272,88;91,40;992,11;4,30;154,13;0,000004;0,016771;0,031389;0,0000
2018-01-01;06:30;272,90;91,63;991,98;4,33;154,69;0,000004;0,012747;0,031499;0,0000
2018-01-01;06:45;272,92;91,83;991,88;4,32;155,57;0,000051;0,010425;0,031589;0,0000
2018-01-01;07:00;272,93;92,00;991,82;4,28;156,78;0,000146;0,009804;0,031658;0,0000
2018-01-01;07:15;272,94;92,17;991,77;4,24;158,01;0,000241;0,009184;0,031726;0,0000
2018-01-01;07:30;272,95;92,33;991,71;4,20;159,27;0,000335;0,008564;0,031795;0,0000
2018-01-01;07:45;272,99;92,41;991,63;4,14;159,95;0,000483;0,007665;0,031849;0,3483
2018-01-01;08:00;273,05;92,41;991,55;4,07;160,03;0,000683;0,006489;0,031888;1,4720
