Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
279,92;94,96;988,99;9,26;200,55;0,014078;0;0;0
279,91;94,81;988,77;9,37;200,97;0,018742;0;0;0
279,9;94,69;988,54;9,38;200,7;0,029936;0;0;0
279,89;94,61;988,28;9,3;199,71;0,047658;0;0;0
279,88;94,53;988,03;9,22;198,72;0,06538;0;0;0
279,88;94,44;987,78;9,15;197,7;0,083103;0;0;0
279,87;94,37;987,47;9,23;196,67;0,119427;0;0;0
279,86;94,3;987,1;9,46;195,69;0,174352;0;0;0
279,85;94,24;986,73;9,69;194,75;0,229277;0;0;0
279,84;94,17;986,36;9,92;193,86;0,284202;0;0;0
279,83;93,75;986,06;10,23;196,75;0,301367;0;0;0
279,83;92,97;985,83;10,71;202,98;0,28077;0;0;0
279,82;92,18;985,6;11,31;208,62;0,260174;0;0;0
279,82;91,4;985,38;12;213,65;0,239578;0;0;0
279,79;90,64;985,33;12,43;219,28;0,212532;0;0;0
279,73;89,9;985,47;12,67;225,81;0,179037;0;0;0
279,68;89,15;985,61;13,05;232,04;0,145542;0;0;0
279,62;88,39;985,76;13,59;237,84;0,112047;0;0;0
279,59;87,84;985,94;13,9;241,32;0,097949;0;0;0
279,59;87,5;986,18;13,91;242,83;0,103248;0;0;0
279,6;87,15;986,42;13,92;244,35;0,108546;0;0;0
279,6;86,81;986,66;13,95;245,86;0,113845;0;0;0
279,64;86,43;986,87;13,88;246,6;0,114959;0;0;0
279,74;86,02;987,07;13,72;246,58;0,111888;0;0;0
279,83;85,61;987,26;13,55;246,56;0,108817;0;0;0
279,93;85,2;987,46;13,39;246,54;0,105746;0;0;0
280,01;84,81;987,67;13,3;246,84;0,098979;0;0;0
280,08;84,44;987,91;13,27;247,45;0,088517;0;0;0
280,16;84,07;988,14;13,25;248,07;0,078055;0;0;0
280,23;83,71;988,38;13,23;248,69;0,067593;0;0;0
280,28;83,25;988,66;13,28;249,62;0,057633;0;0;0
280,32;82,68;989;13,41;250,85;0,048176;0;0;0,0012
