Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
279,58;95,62;988,64;6,59;203,67;0,002934;0;0,000215;0
279,54;95,63;988,43;6,63;202,97;0,002818;0;0,000212;0
279,5;95,65;988,24;6,67;202,08;0,003451;0;0,000209;0
279,45;95,68;988,06;6,69;201;0,004834;0;0,000206;0
279,39;95,71;987,87;6,72;199,93;0,006216;0;0,000204;0
279,34;95,74;987,69;6,75;198,86;0,007599;0;0,000201;0
279,3;95,72;987,48;6,84;197,86;0,016565;0;0,000198;0
279,28;95,63;987,25;6,98;196,96;0,033114;0;0,000195;0
279,25;95,55;987,01;7,13;196,09;0,049663;0;0,000193;0
279,23;95,46;986,78;7,28;195,26;0,066213;0;0,00019;0
279,23;95,17;986,54;7,59;195,56;0,08001;0;0,000187;0
279,26;94,68;986,29;8,06;196,85;0,091055;0;0,000184;0
279,3;94,2;986,04;8,52;197,99;0,1021;0;0,000181;0
279,33;93,72;985,8;9;199,01;0,113144;0;0,000178;0
279,37;93,09;985,64;9,5;202,02;0,110816;0;0,000174;0
279,41;92,33;985,57;10,08;206,66;0,095113;0;0,000169;0
279,46;91,58;985,51;10,72;210,77;0,079411;0;0,000165;0
279,5;90,83;985,44;11,42;214,4;0,063709;0;0,00016;0
279,49;90,32;985,44;11,85;217,84;0,057714;0;0,000154;0
279,43;90,06;985,52;12,04;221,32;0,061427;0;0,000148;0
279,37;89,79;985,59;12,27;224,69;0,06514;0;0,000142;0
279,3;89,52;985,67;12,54;227,93;0,068853;0;0,000136;0
279,21;89,57;985,79;12,59;230,12;0,085664;0;0,00013;0
279,08;89,93;985,96;12,39;231,4;0,115574;0;0,000124;0
278,96;90,3;986,13;12,21;232,73;0,145485;0;0,000119;0
278,83;90,67;986,31;12,03;234,09;0,175395;0;0,000113;0
278,76;90,88;986,5;11,85;234,98;0,188674;0;0,000108;0
278,75;90,92;986,72;11,67;235,39;0,185323;0;0,000105;0
278,74;90,96;986,93;11,5;235,8;0,181972;0;0,000101;0
278,73;91;987,15;11,32;236,23;0,178621;0;0,000098;0
278,76;90,84;987,38;11,23;236,95;0,166379;0;0,000095;0
278,83;90,46;987,64;11,22;237,94;0,145244;0;0,000092;0,06
278,91;90,08;987,89;11,21;238,93;0,124109;0;0,00009;0,8656
278,99;89,71;988,14;11,21;239,92;0,102974;0;0,000087;2,0846
279,06;89,26;988,4;11,24;241,18;0,086385;0;0,000084;3,6452
279,13;88,74;988,66;11,31;242,71;0,07434;0;0,000082;5,6317
279,19;88,23;988,92;11,39;244,22;0,062295;0;0,00008;7,9068
279,26;87,72;989,19;11,48;245,71;0,05025;0;0,000077;10,4154
279,32;87,16;989,44;11,54;246,93;0,041515;0;0,000072;13,1586
279,36;86,56;989,68;11,58;247,9;0,03609;0;0,000065;16,0939
279,4;85,96;989,92;11,62;248,87;0,030665;0;0,000058;19,1029
279,44;85,37;990,16;11,67;249,83;0,02524;0;0,000051;22,118
279,46;84,94;990,37;11,67;250,16;0,021543;0;0,000044;24,8472
279,47;84,67;990,55;11,62;249,86;0,019574;0;0,000038;27,2002
279,48;84,4;990,74;11,57;249,57;0,017606;0;0,000031;29,3361
279,48;84,13;990,92;11,52;249,26;0,015638;0;0,000024;31,2013
279,47;84,18;991,07;11,43;248,56;0,015276;0;0,000021;31,4435
279,45;84,54;991,19;11,3;247,44;0,016522;0;0,00002;30,0614
279,43;84,9;991,32;11,18;246,29;0,017768;0;0,000019;28,3908
279,4;85,26;991,44;11,06;245,12;0,019013;0;0,000018;26,4661
279,36;85,75;991,54;10,93;243,84;0,019763;0;0,000017;23,6059
279,3;86,37;991,61;10,8;242,45;0,020018;0;0,000017;19,9792
279,24;87;991,68;10,67;241,03;0,020272;0;0,000016;16,4238
279,17;87,64;991,75;10,54;239,57;0,020527;0;0,000016;13,0233
279,1;88,21;991,81;10,41;238,17;0,019447;0;0,000015;10,1159
279,02;88,74;991,87;10,27;236,84;0,017034;0;0,000015;7,6621
278,94;89,26;991,92;10,14;235,48;0,014621;0;0,000015;5,4225
278,85;89,79;991,98;10,01;234,08;0,012208;0;0,000014;3,4477
278,78;90,2;992,03;9,88;232,83;0,010655;0;0,000014;1,7058
278,73;90,48;992,09;9,73;231,74;0,009962;0;0,000014;0,4022
278,67;90,76;992,14;9,6;230,61;0,009268;0;0,000013;0
278,61;91,04;992,2;9,46;229,45;0,008575;0;0,000013;0
278,56;91,27;992,25;9,31;228,49;0,008262;0;0,000013;0
278,53;91,47;992,3;9,16;227,73;0,00833;0;0,000013;0
278,5;91,66;992,35;9;226,95;0,008397;0;0,000012;0
278,46;91,86;992,4;8,85;226,14;0,008465;0;0,000012;0
278,44;91,98;992,46;8,72;225,5;0,00857;0;0,000012;0
278,43;92,02;992,51;8,6;225,04;0,008712;0;0,000012;0
278,43;92,05;992,56;8,48;224,57;0,008853;0;0,000012;0
278,42;92,09;992,62;8,37;224,08;0,008995;0;0,000012;0
278,42;92,03;992,67;8,27;224,02;0,009268;0;0,000011;0
278,43;91,85;992,74;8,19;224,38;0,009673;0;0,000011;0
278,43;91,68;992,8;8,12;224,74;0,010077;0;0,000011;0
278,44;91,51;992,86;8,04;225,12;0,010482;0;0,000011;0
278,43;91,4;992,92;7,94;225,45;0,010423;0;0,000011;0
278,42;91,34;992,99;7,83;225,73;0,0099;0;0,000011;0
278,4;91,29;993,06;7,71;226,03;0,009377;0;0,000011;0
278,39;91,23;993,12;7,59;226,33;0,008853;0;0,00001;0
278,37;91,23;993,19;7,45;226,63;0,008401;0;0,00001;0
278,35;91,26;993,26;7,26;226,92;0,008018;0;0,00001;0
278,33;91,3;993,32;7,08;227,23;0,007635;0;0,00001;0
278,31;91,33;993,38;6,9;227,56;0,007253;0;0,00001;0
278,29;91,38;993,46;6,71;228,01;0,00705;0;0,00001;0
278,28;91,43;993,56;6,51;228,59;0,007027;0;0,000009;0
278,26;91,49;993,65;6,31;229,22;0,007004;0;0,000009;0
278,25;91,54;993,75;6,11;229,88;0,006981;0;0,000009;0
278,24;91,58;993,86;5,97;230,44;0,006628;0;0,000008;0
278,25;91,6;994;5,88;230,86;0,005946;0;0,000006;0
278,25;91,62;994,14;5,8;231,29;0,005264;0;0,000004;0
278,25;91,64;994,27;5,71;231,73;0,004583;0;0,000002;0
278,26;91,69;994,4;5,64;231,94;0,004271;0;0,000001;0
278,27;91,76;994,53;5,58;231,91;0,004329;0;0,000001;0
278,29;91,83;994,67;5,52;231,88;0,004387;0;0,000001;0
278,3;91,9;994,8;5,45;231,85;0,004446;0;0;0
278,31;91,99;994,93;5,39;232,07;0,00458;0;0;0
278,31;92,1;995,05;5,32;232,55;0,004791;0;0;0
278,32;92,21;995,18;5,25;233,05;0,005002;0;0;0
278,32;92,32;995,3;5,18;233,55;0,005213;0;0;0
278,32;92,45;995,42;5,11;234,42;0,005354;0;0;0
278,31;92,6;995,53;5,03;235,66;0,005426;0;0;0
278,31;92,75;995,65;4,96;236,94;0,005498;0;0;0
278,3;92,9;995,76;4,88;238,26;0,00557;0;0;0
278,28;93,1;995,87;4,79;239,68;0,005654;0;0;0
278,25;93,34;995,97;4,68;241,23;0,00575;0;0;0
278,21;93,58;996,08;4,56;242,87;0,005846;0;0;0
278,17;93,82;996,18;4,46;244,58;0,005943;0;0;0
278,12;94,12;996,29;4,35;246,13;0,005661;0;0;0
278,04;94,48;996,41;4,25;247,52;0,005002;0;0;0
277,96;94,85;996,53;4,15;248,98;0,004343;0;0;0
277,88;95,21;996,65;4,05;250,51;0,003683;0;0;0
277,81;95,56;996,79;3,98;251,76;0,003365;0;0;0
