# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2018-01-01;00:15;273,96;93,14;972,37;3,10;161,59;0,000337;0,000130;0,010073;0,0000
2018-01-01;00:30;273,85;93,84;972,18;3,03;158,63;0,000340;0,000177;0,010069;0,0000
2018-01-01;00:45;273,79;94,16;972,00;2,97;156,11;0,000344;0,000316;0,010067;0,0000
2018-01-01;01:00;273,77;94,08;971,83;2,91;154,06;0,000349;0,000547;0,010066;0,0000
2018-01-01;01:15;273,76;94,01;971,66;2,85;151,93;0,000354;0,000779;0,010065;0,0000
2018-01-01;01:30;273,74;93,94;971,50;2,80;149,72;0,000359;0,001010;0,010063;0,0000
2018-01-01;01:45;273,74;93,60;971,37;2,75;148,05;0,000326;0,001443;0,010065;0,0000
2018-01-01;02:00;273,75;93,01;971,27;2,68;146,94;0,000254;0,002079;0,010070;0,0000
2018-01-01;02:15;273,76;92,41;971,18;2,62;145,77;0,000182;0,002714;0,010075;0,0000
2018-01-01;02:30;273,77;91,82;971,09;2,56;144,55;0,000109;0,003350;0,010080;0,0000
2018-01-01;02:45;273,71;91,85;971,06;2,32;144,46;0,000078;0,003619;0,010085;0,0000
2018-01-01;03:00;273,57;92,48;971,10;1,91;145,88;0,000086;0,003521;0,010091;0,0000
2018-01-01;03:15;273,43;93,12;971,14;1,50;148,09;0,000094;0,003424;0,010098;0,0000
2018-01-01;03:30;273,29;93,77;971,17;1,09;151,97;0,000102;0,003326;0,010104;0,0000
2018-01-01;03:45;273,20;94,26;971,24;0,73;160,56;0,000097;0,003148;0,010109;0,0000
2018-01-01;04:00;273,15;94,60;971,35;0,45;181,95;0,000080;0,002889;0,010114;0,0000
2018-01-01;04:15;273,10;94,94;971,45;0,35;231,67;0,000062;0,002631;0,010119;0,0000
2018-01-01;04:30;273,06;95,28;971,55;0,53;272,11;0,000045;0,002372;0,010124;0,0000
2018-01-01;04:45;273,06;95,34;971,65;0,78;282,26;0,000041;0,002083;0,010127;0,0000
2018-01-01;05:00;273,12;95,11;971,74;0,98;282,97;0,000050;0,001764;0,010130;0,0000
2018-01-01;05:15;273,18;94,89;971,83;1,17;283,43;0,000059;0,001444;0,010132;0,0000
